answer,question
"This article will help you troubleshoot invoices that appear to be missing from the portal after retrieval from Krajowy System e-Faktur (KSeF).
It explains the most common causes of missing invoices, the verification steps to perform, and the information required for Technical Support to investigate the issue efficiently.
 This article specifically applies to Tungsten e-Invoice Connect (formerly known as Invoice Portal). The information provided here does not apply to other Tungsten Automation products. For support or documentation related to other products, please refer to the appropriate resources
here
.
 Guide:

Step 1:
Preliminary troubleshooting for missing invoices (No KSeF portal access required)
When a supplier reports that an invoice is missing, the first step is to perform basic verification checks directly with the supplier. Most of the supplier's direct AP contacts might not have direct access to the KSeF portal. These first troubleshooting steps will cover this situation.
Look for a KSeF Number:
A successfully cleared invoice in KSeF receives a unique KSeF Number.
A KSeF Number would look like this: 1234567890-20260101-1A2345B00001-12
If the supplier cannot provide a KSeF Number, there is a high chance the invoice was not successfully cleared in KSeF. Without successful clearance, the invoice cannot be retrieved through the KSeF API.
Verify the exact Invoice Number
:
In Poland, suppliers can use special characters and formatting. Checking for an invoice will require the exact same number. Even a small mismatch may prevent you from finding a document correctly.
Please verify the invoice number character-by-character, including:
Dashes (-) vs underscores (_) vs slash (/).
Leading zeros such as 00123456 (If you receive document numbers via Excel, it is possible that Excel automatically removes leading zeros depending on the cell formatting).
Extra spaces.
Prefixes or suffixes.
Date-based document numbers such as 01/04/2026 (If you receive document numbers via Excel, it is possible that Excel automatically transforms the date into a number value like 46113 that represents 01/04/2026).
Verify the Receiver Tax ID
:
Please confirm the supplier used the correct buyer Tax ID when submitting the invoice to KSeF. Common issues include:
Incorrect Tax ID.
Wrong country code or country prefix.
Invoice submitted for another legal entity.
If the invoice was submitted with the wrong receiver Tax ID, the document may be assigned to another entity in KSeF and cannot be retrieved for the intended buyer account.

Step 2:
Direct troubleshooting for missing invoices with the KSeF portal
If the invoice is still missing after the initial verification, the next step is to investigate directly through the KSeF portal.
Verify the invoice exists in KSeF
:
KSeF portal can be accessed from here:
https://ap.ksef.mf.gov.pl/web/login
. If you are unable to log in, please contact KSeF support via:
https://ksef.podatki.gov.pl/kontakt-zadzwon-lub-napisz/
.
Confirm whether the invoice is visible directly in the KSeF portal. You can access documents from the ""Lista faktur"" menu. Make sure to navigate the different tabs and filter options for an easier search.
If the invoice is not visible there, possible causes include:
The invoice was not successfully cleared.
The invoice was rejected by KSeF.
The wrong buyer Tax ID was used.
The document was assigned to another entity.
The invoice number is different.
Reconcile the KSeF Portal against received documents:
Compare the invoices visible in the KSeF portal against the invoices received on the platform.
Please verify again for possible mismatches, including:
Invoice number formatting differences, missing characters, leading zeros.
Tax ID inconsistencies.
Date mismatches.
Download the KSeF PDF and FA(3) XML
:
If the invoice is visible in the KSeF portal, download:
The KSeF PDF.
The FA(3) XML file.
These documents are essential for troubleshooting because they contain the technical information required to validate:
Exact invoice number formatting.
Supplier and buyer Tax IDs.
KSeF registration details.
Submission metadata.
Retrieval eligibility.
To download the KSeF PDF and KSeF FA(3) XML file:
1. When opening the KSeF link or scanning the KSeF QR code, select the button Przejd do pobierania (Go to Download)
2. Then fill the following fields:
a. Invoice numbers.
b. Buyer Tax ID (You may have to try different combinations between NIP and Number VAT-UE depending on the invoice. Depending on the selection, the Buyer Tax ID would be with or without country prefix code).
c. Total amount due.
3. Click on Weryfikuj dane (Verify data)
4. If everything was entered correctly, you will get a confirmation message. You can select the down arrow to download the KSeF PDF and KSeF FA(3) XML separately.
If you receive an error, you may try again using different values above, based on the KSeF portal table or the PDF received from the supplier.

Step 3:
Escalating to Tungsten Automation Technical Support
If the invoice is still missing after all verification steps, please contact the Technical Support with the required information below.
Mandatory information to provide
:
Receiver Tax ID.
Invoice Number (exact match).
KSeF Number.
KSeF Date.
KSeF PDF.
KSeF FA(3) XML file.
Any error messages received (if applicable).
Important
: Providing only an invoice number or only a KSeF Number is not sufficient. If the required information are not provided, our Technical Support team will not be able to perform a complete investigation. We do not have the possibility to connect to the customer KSeF portal.
Bulk investigations
:
If multiple invoices are missing (for example 20, 50, or 100+ documents), you may initially provide an Excel file instead of individual files. This is acceptable as in this scenario, retrieving a second time these documents from a specific date should fix almost all documents.
The Excel file should contain at minimum:
Invoice Number (exact match).
KSeF Number.
KSeF Date.
Receiver Tax ID (This is particularly important if you have multiple accounts/entities).
Technical Support may still request KSeF PDFs or FA(3) XML files later for unresolved documents.
Why the above information is required
:
Our platform does not connect to KSeF as a buyer through the government portal.
Invoice retrieval is performed exclusively through the KSeF API, which has technical limitations and does not provide direct reconciliation or full document search capabilities.
As we can't connect to the government portal directly on customer accounts, we can't reconcile the documents available there with the KSeF API results. The reconciliation is expected to be completed on the customer side.
The information above is therefore required to:
Validate the invoice correctly.
Confirm retrieval eligibility.
Retry retrieval attempts when possible.
Investigate supplier-side inconsistencies.
Escalate to integration partners when necessary.
The more complete the information provided, the faster and more accurately Technical Support can investigate the issue.",Tungsten e-Invoice Connect (TeC) - Troubleshooting Missing Invoices Retrieved from KSeF
"In this article, we will discuss our process in place for any items related to product development.
 This article specifically applies to Tungsten e-Invoice Connect (formerly known as Invoice Portal). The information provided here does not apply to other Tungsten Automation products. For support or documentation related to other products, please refer to the appropriate resources
here
.
 Guide:
Whenever you encounter a bug on the portal or request a new functionality, the development process will follow a similar path. When Technical Support receives an enhancement request or a bug report, our team first verifies it. If development is required, we will raise an internal product change/development request. Once raised, you will receive confirmation from Technical Support, and the support case will be assigned to Development (status In Development).
What happens next?
Enhancement requests and bug fixes are periodically reviewed by Product Management for possible inclusion in a future major release. Whether they are included, as well as their prioritization and timing, is determined by market needs and the functional or development complexity involved.
Because of this, our Technical Support team may not be able to provide an ETA for your request. Some major changes are announced directly by our Product team on the e-Invoice Connect Product page here:
https://docshield.tungstenautomation.com/eInvoiceConnect/en_US/help/RN/eInvoiceConnect_releasenotes/c_whatsnew.html
Resolved issues are also documented in a separate page. When applicable, our Technical Support team may share a bug ID, which can be searched directly here:
https://docshield.tungstenautomation.com/eInvoiceConnect/en_US/help/RN/eInvoiceConnect_releasenotes/c_resolvedissues.html
However, not all released items are published there, so the best approach is to check the portal regularly for updates.
Please note that the above do not include major incidents or outages. If such a scenario happens, our Service Status page will be updated:
https://status.tungstencloud.com/europe
You can subscribe to receive direct email notification from the top button ""
SUBSCRIBE TO UPDATES
"". Add your email address and select our Tungsten Automation products.",Tungsten e-Invoice Connect (TeC) - Enhancement Requests & Bug Fixes - Product Development Process
"With Tungsten e-Invoice Connect, it is possible to send and receive invoices directly with a data file. We support many globally recognized formats.
 This article specifically applies to Tungsten e-Invoice Connect (formerly known as Invoice Portal). The information provided here does not apply to other Tungsten Automation products. For support or documentation related to other products, please refer to the appropriate resources
here
.
 Guide:

Step 1:
Membership level
Based on your membership level, we can offer different integration options with your invoicing system.
Basic:
Integration with selected systems. Supports standard formats such as PEPPOL BIS and other public formats. Personalized configuration is not available at this membership level. The structure of our public formats must be strictly followed.
Plus / Premium:
Full integration with any system is available. This solution allows you to continue creating e-invoices in the file format your internal system currently exports, as long as it is consistent and contains all mandatory data elements.
The TeC technical team will create a custom map to adapt our system to your file structure and extract the necessary content.

Step 2:
Standard format list
If you are interested in using a standard format, we have prepared a list with some additional information available. Some of these formats might be available only for sending or receiving invoices.
Inbound
(source) invoice format: The format in which an invoice is sent by a supplier and received by e-Invoice Connect before transferring to the recipient (customer).
Outbound
(target) invoice format: The format in which an invoice is sent from e-Invoice Connect to the recipient.
Both ways: Used both as a target and a source format.
e-Invoice Connect converts the sender format to the recipient format using the internal Esxml2 format.
BGC Invoice:
Inbound only. An XML invoice standard. BGC stands for ""bank giro credit,"" referring to cash or checks paid into your bank over the counter. Invoices are sent in this format by a supplier and received by e-Invoice Connect before being forwarded to the customer.
E2B:
Both ways. An XML invoice standard used in Norway. Primarily intended for domestic Norwegian invoicing, with limited support for cross-border use. The format is used as both a target and source. e-Invoice Connect converts the senders format to the recipients format via the internal
Esxml2
format.
Note: This format is mostly replaced by
PEPPOL BIS Billing 3.0
.
Esxml2:
Both ways. An internal format used by e-Invoice Connect and also adopted externally by some customers.
Factur-X:
Inbound only. A Franco-German hybrid e-invoice format (PDF for users, XML data for automation) based on the European Semantic Standard
EN 16931
.
Finvoice 3:
Both ways. A publicly available invoicing standard published by Finnish banks. Also functions as a forwarding service provided by banks and payment institutions. e-Invoice Connect supports version 3.x, in line with the requirements of the Finnish e-invoicing association.
Used as both a source and target format via
Esxml2
.
OIOUBL:
Both ways. A Danish adaptation of the international UBL 2.0 standard from OASIS, customized for local business requirements. Used as both a source and target format. Conversion handled via
Esxml2
.
OIOXML:
Inbound only. An invoice format sent by suppliers and received by e-Invoice Connect before being forwarded to customers.
Note:
This format is deprecated.
PEPPOL BIS Billing 3.0:
Both ways. An international e-invoicing network for secure communication with companies and governments worldwide.
See the chapter
Integration with PEPPOL
for more details.
Used as both a source and target format via
Esxml2
.
Pyramid:
Inbound only. A format in which suppliers send invoices to e-Invoice Connect, which then forwards them to the recipient.
Svefaktura:
Both ways. An XML standard used in Sweden, based on OASIS Universal Business Language (UBL). Enables easy e-invoicing without special agreements.
Accepted by public entities in Sweden, although
PEPPOL BIS Billing 3.0
is preferred.
Several variants exist, including customer-specific versions. Converted via
Esxml2
.
TEAPPSXML:
Both ways. E-Invoice Connect supports
TEAPPSXML 3.0
, an XML-based standard that meets European Standard EN requirements for electronic invoicing.
Used as both a source and target format via
Esxml2
.
XRechnung 2.1:
Both ways. The official standard for electronic invoicing in Germany. Mandatory for sending invoices to German government institutions. Applicable to all EU contractors.
e-Invoice Connect supports commonly used features to enable both sending and receiving invoices in this format.
ZugFERD:
Inbound only. A German hybrid invoice format combining XML data and a traditional PDF layout. Compliant with European Standard
EN 16931
.",Tungsten e-Invoice Connect (TeC) - What standard invoicing file formats are supported?
"In order to be able to send electronic invoices using Invoice Portal you first need to register your company as a member of Invoice Portal. Go to the registration page
https://web.fakturaportalen.se/register
. This is how the registration page looks:
Mandatory fields are marked with a check mark. When the field is filled in the check mark changes colour. There is a question mark next to some fields, pressing this symbol will bring up an explanation of the field.
User information
Email address - Add an existing email address (this email address will be the user name)
Name - Contact person's name
Password - The password need to consist of at least 6 characters
Organization information
When the organization ID is filled in, the rest of the corporate information is populated automatically.
Country The country in which the organization is registered
Organization ID - Swedish organization number for identification of a legal entity.
Use the Invoice Portal
Select what to use the membership for (for instance to send invoices)
Membership level
There are the different levels of membership available. Select the preferred level by selecting the radio button below the list.
Registration code
You may have received a registration code from Kofax or one of our partners, enter it in this field.
Finalize the registration
Terms and conditions for the membership is available in the hyper link (
https://web.fakturaportalen.se/terms.pdf
). Study them carefully and when you are satisfied, press ""
Done
"".
The membership registration is now done.
After membership registration
When your company is registered an activation email will be sent to the email address used during the registration. In this email there is a link which leads to a membership activation function in Invoice Portal.
When the new member account is activated it is possible to log in using the registered email address and the password you receive.
Read more about Invoice Portal in the online help file:
https://docshield.kofax.com/InvoicePortal/en_US/help/RSI_InvoicePortal_help/c_welcometoinvoiceportal.html",Become a member of the Invoice Portal
"Welcome to the TeC Support Home! This is our central hub for help and guidance regarding Tungsten e-Invoice Connect. Explore our full collection of support articles, organized by category for easy browsing.
 This article specifically applies to Tungsten e-Invoice Connect (formerly known as Invoice Portal). The information provided here does not apply to other Tungsten Automation products. For support or documentation related to other products, please refer to the appropriate resources
here
.
VIEW ALL ARTICLES
Getting Started 
Most Popular 
How to create a company account?
How can I set manage my Multi-Factor Authentication (MFA)?
How can I send and receive my invoices via FTP or SFTP?
How to add or change a customer in the interoperability registry from TeC?
How to add a new user to your company account?
How can my customers receive my invoices outside TeC via their own VAN Operators?
How to change my membership level or upgrade it?
Poland - How to generate a KSeF Token?
What standard invoicing file formats are supported?
How to contact TeC Technical Support?
Error Troubleshooting
PEPPOL Guidance
Country Guidance
Electronic recipient could not be identified and a printing service is not used.
How to check Peppol Customer Registration?
How to add our company to Sweden's registry (NEA)?
At least 1 supported means of payment must be provided.
How to add our company to Peppol registry?
How to add our company to Denmark's registry (NemHandel)?
The number of decimals for Quantity/Price/Unit price basis value (123) on line 123 exceeds the maximum allowed (123).
How to Change or Delete an existing record from a Registry or PEPPOL?
How to add our company to Finland's registry (TIEKE)?",Tungsten e-Invoice Connect (TeC) - Technical Support Knowledge Base
"In this article, we will cover our official channels to contact Tungsten e-Invoice Connect (TeC) Technical Support.
 This article specifically applies to Tungsten e-Invoice Connect (formerly known as Invoice Portal). The information provided here does not apply to other Tungsten Automation products. For support or documentation related to other products, please refer to the appropriate resources
here
.
Table of contents:
Guide 1: Self-Assistance Documentation
Guide 2: Contact our Technical Support team
 Guide 1: Self-Assistance Documentation

Step 1:
Opening help resources
From the portal, you can access our online documentation. Depending on your membership level, you might also have a contact form available (described below).
Open our portal via
https://web.fakturaportalen.se/
Log in using your
Email
and
Password
.
From the top menu, select ""
Support
"" - ""
Request
""

Step 2:
Our help resources available
On the page, the following links will be available:
Docshield
: User manual covering many topics by our Product team.
Knowledge Base
: Articles created by our Technical Support team, based on requests received from our customers.
Status Monitoring
: Allows you to monitor in real time the status of our services. You can subscribe to receive an alert in case of service disruption.
Administrator's Guide
: A complete guide for administrators.
Learning Courses
: Interactive courses prepared by our Learning Cloud team.
 Guide 2: Contact our Technical Support team

Step 1:
Eligibility to contact our Technical Support
 Important
: Some services offered by Tungsten Automation are exclusively available to high-tier customers.
Technical Support for TeC is provided to direct customers with Plus or Premium memberships
. Customers with a Free or Basic membership are not eligible for direct Technical Support and are encouraged to use the available self-service resources instead. If you have purchased Tungsten e-Invoice Connect through a partner, please contact your partner directly for assistance.
To verify if you are eligible to contact our Technical Support team, you can navigate from the top menu. Select ""
Support
"" - ""
Request
"".
If you can see the section ""
Still did not find an answer?
"", and a contact form is available under it, then you are eligible to contact our Technical Support team. If you can't see any contact form, you have the possibility to upgrade your membership level to Plus or Premium with this menu:
Upgrade my membership level
.

Step 2:
Using our support contact form
Directly from the TeC Portal, our contact form allows you to reach out to our Technical Support. When reaching the technical support, the following information will be expected:
A detailed description of the issue/request
Time of the issue (started/noticed)
Steps to reproduce (if applicable)
Screenshots of the issue (if applicable)
Account Impacted (Company Name or Member ID) & User Impacted (Email)
If requesting a new Recipient to be added into a registry, we will expect Company name, Company Identifiers, VAN Operator name, and Contact Person (Name, Phone, Email).
Any additional information that could make the investigation more efficient
Attachments can be added at a later stage, directly by replying in the confirmation email received by our system.
Enterprise customers with the web access to Tungsten Automation Support may also view the already-existing cases here:
Log in to the Customer Portal
- this link is for customers who already have a Customer Portal Account.
Log in to the Partner Portal
- this link is for Tungsten Automation Partners who already have a Partner Portal Account.",Tungsten e-Invoice Connect (TeC) - How to contact TeC Technical Support?
"For assistance with Invoice Portal, please review the resources below:
Help Files
for Invoice Portal users
Join the Kofax Community
to ask questions, chat to other Invoice Portal members and the Kofax team
Live up-time status
real-time information about Invoice Portal operational status
Still did not find an answer?
Kofax provides support for directly sold customers with Plus and Premium member level. If you purchased via a Partner, please contact your partner. For assistance with a specific Kofax Invoice Portal question, please use the in-tool Support-Request functionality. Make sure you tell us as much as you can about the issue/query:
A detailed description of your problem
The text of any error message you received
Invoice number of the affected invoice
Invoice date
Invoice recipient (outgoing) or invoice sender (incoming)
Additional Resources for Enterprise Customers:
Enterprise customers with existing web access to Kofax Support may also review existing cases here:
Log in to the Customer Portal
- This link is for customers who already have a Customer Portal Account.
Log in to the Partner Portal
- This link is for Kofax Partners who already have a Partner Portal Account.",Getting Help with Invoice Portal
"For assistance with e-Invoice Connect (Invoice Portal), see the following resources:
Help Files
for Invoice Portal users
e-Invoice Connect (Invoice Portal)
:
additional help can be found in the
Tungsten Automation
Knowledge Base. More information about the Knowledge Portal is below.
Join the Tungsten Automation Community
to find answers to support questions, ask your own questions, chat with other e-Invoice Connect (Invoice Portal) users, and chat with the
Tungsten Automation
Team. For more information about the Tungsten Automation Community, please see below.
Live up-time status
gives real-time information about the e-Invoice Connect (Invoice Portal) status
Still did not find an answer?
Tungsten Automation
provides support for directly sold customers with Plus and Premium member levels. If you purchased e-Invoice Connect (Invoice Portal) from a Partner, please contact your Partner.
The support form is accessible directly from inside the e-Invoice Connect (Invoice Portal) application, Support > Request.
Additional Resources for Enterprise Customers
Enterprise customers with web access to
Tungsten Automation
Support may also view the already-existing cases here:
Log in to the Customer Portal
- this link is for customers who already have a Customer Portal Account
Log in to the Partner Portal
- this link is for
Tungsten Automation
Partners who already have a Partner Portal Account
More information about the
Tungsten Automation
Community
A wealth of information can be found in the Tungsten Automation Community, where our users ask and answer questions, and share insights about e-Invoice Connect (Invoice Portal).
Tungsten Automation Technical Support
is represented and monitors the Community to ensure that questions are addressed.
To participate in the Community, you first have to join - this is done by filling in the self-service form here:
Self Register
Looking forward to seeing you in the Community!
More information about the
Tungsten Automation
Knowledge Portal
The
Tungsten Automation Knowledge Portal
is more than meets the eye. We recommend using the search function to find topics related to your query.",e-Invoice Connect (Invoice Portal) - Getting help and access to resources
"Please go to:
https://www.tungstenautomation.de/contact-us/product-inquiry
And raise your questions directly to our products teams.",I have questions regarding a software demo or general questions regarding product features
"Tungsten Automation Partners and Customers (all products and solutions).
We experienced network issues affecting some of our internal IT systems. We have successfully restored functionality to all core systems.
If you encounter any licensing issues going forward, please
open a Critical Case
with Tungsten Automation Technical Support via the
Tungsten Automation Customer Portal
. Partners should register issues through the
Tungsten Automation Partner Portal
. We will make every effort to provide new activation codes within the same business day.",License Activation Server and Software Download Disruption
